Question,Answer
"Can I reserve a table?","Yes, you can reserve a table by calling us or using our website."
"Do you offer catering services?","Yes, we offer catering services for events. Please inquire for more details."
"Can I get a refill on my coffee?","Yes, we offer free refills on brewed coffee!"
"How do I become a loyalty member?","To become a loyalty member, simply ask our staff for a loyalty card and start earning points with your purchases!"
"Do you have any discounts or promotions?","Yes, we have various discounts and promotions throughout the year. Check our website or ask our staff for the current offers!"
"Can I bring my own mug?","Absolutely! We encourage sustainability and are happy to fill your own reusable mug with any of our drinks."
"Do you have any vegan options?","Yes, we have several vegan-friendly options, including our Avocado Shake and Mango Cream Bluree."
"Can I request a specific roast for my coffee?","Yes, we have a variety of roasts available. Feel free to let our staff know your preference."
"Do you offer any delivery services?","Yes, we offer delivery services within a certain radius. Please check our website or call us for more details."
"Can I get a gift card for the café?","Yes, we offer gift cards in various denominations. They make a great gift for coffee lovers!"
"Do you have any student discounts?","Yes, we offer a 10% discount for students with a valid student ID. Just let our staff know when you place your order."
"Can I get my drink customized with extra shots?","Yes, you can add extra shots of espresso to any of our coffee drinks for an extra boost of caffeine."
"Do you have any sugar-free options?","Yes, we offer sugar-free syrups for our drinks and have sugar-free pastry options available."
"Can I get my drink with non-dairy milk?","Absolutely! We offer almond, soy, and oat milk as alternatives to dairy milk. Just specify your preference when ordering."
"View Menu","1. Chocolate and Vanilla Combo, 2. Avocado Shake, 3. Apple Pomegranate Juice, 4. Drumstick Milkshake, 5. Pumpkin Shake, 6. Malted Chocolate, 7. Oreo Shake, 8. Pista Shake, 9. Mix Fruit Smoothie, 10. Tiramisu Milkshake, 11. Banana Cream Treat, 12. Cotton Candy Shake, 13. Cranberry Orange, 14. Mint White Chocolate, 15. Cherry Vanilla, 16. Peanut Vanilla, 17. Salted Caramel Pretzel, 18. S'mores, 19. Red Velvet, 20. Strawberry Tiramisu, 21. Black Forest, 22. Black Tie Mose, 23. Honey Slice, 24. Walnut Pastry, 25. Mango Cream Bluree, 26. Maxres Special, 27. Pineapple Shot Cake, 28. Strawberry Basque, 29. Vanilla Layer, 30. Fruit & Cheese Cerame, 31. Mix Cupcake, 32. Macarons, 33. Waffle Ice-Cream, 34. Waffle Choco, 35. Tanuki, 36. Tomato Cheese, 37. Blueberry Puff, 38. Char Sui, 39. Cinnamon Orange Rolls, 40. Easy Spinach, 41. French Pastry, 42. Beef Wellington, 43. Keto Puff, 44. Nutella Puff, 45. Asparagus Puff, 46. Egg Puff, 47. Rough Puff, 48. Simple Cherry Puff, 49. Tart Social, 50. Blaeter Tertei Puff, 51. Simple Coffee, 52. Cappuccino, 53. Americano, 54. Au Lait, 55. Au Lait Cappuccino, 56. Chans Espresso, 57. Con Panna, 58. Black Coffee, 59. Espresso, 60. Frappe, 61. French Coffee, 62. Iced Coffee Late, 63. Irish Coffee, 64. Latte Macchiato, 65. Wainans Choco Coffee"
